,day,count
1385,20061116,7
1386,20061117,6
1387,20061118,5
1388,20061119,11
1389,20061120,8
1390,20061121,6
1391,20061122,5
1392,20061123,8
1393,20061124,10
1394,20061125,4
1395,20061126,5
1396,20061127,3
1397,20061128,12
1398,20061129,2
1399,20061130,4
1400,20061201,4
1401,20061202,13
1402,20061203,21
1403,20061204,2
1404,20061205,11
1405,20061206,3
1406,20061207,3
1407,20061208,2
1408,20061209,2
1409,20061210,3
1410,20061211,3
1411,20061212,6
1412,20061213,5
1413,20061214,3
1414,20061215,3
1415,20061217,2
1416,20061218,7
1417,20061219,1
1418,20061220,12
1419,20061221,6
1420,20061222,3
1421,20061223,3
1422,20061224,5
1423,20061225,4
1424,20061226,6
1425,20061227,9
1426,20061228,5
1427,20061229,5
1428,20061230,4
1429,20061231,8
1430,20160101,33
1431,20160102,23
1432,20160103,40
1433,20160104,41
1434,20160105,42
1435,20160106,29
1436,20160107,37
1437,20160108,24
1438,20160109,26
1439,20160110,32
1440,20160111,75
1441,20160112,34
1442,20160113,39
1443,20160114,40
1444,20160115,49
1445,20160116,46
1446,20160117,45
1447,20160118,34
1448,20160119,26
1449,20160120,28
1450,20160121,41
1451,20160122,23
1452,20160123,32
1453,20160124,39
1454,20160125,41
1455,20160126,39
1456,20160127,38
1457,20160128,44
1458,20160129,25
1459,20160130,37
1460,20160131,58
1461,20160201,38
1462,20160202,40
1463,20160203,61
1464,20160204,37
1465,20160205,40
1466,20160206,60
1467,20160207,35
1468,20160208,28
1469,20160209,35
1470,20160210,36
1471,20160211,35
1472,20160212,52
1473,20160213,33
1474,20160214,34
1475,20160215,47
1476,20160216,52
1477,20160217,37
1478,20160218,41
1479,20160219,34
1480,20160220,28
1481,20160221,38
1482,20160222,38
1483,20160223,42
1484,20160224,52
1485,20160225,29
1486,20160226,31
1487,20160227,42
1488,20160228,33
1489,20160229,47
1490,20160301,36
1491,20160302,38
1492,20160303,42
1493,20160304,27
1494,20160305,35
1495,20160306,37
1496,20160307,41
1497,20160308,42
1498,20160309,40
1499,20160310,29
1500,20160311,41
1501,20160312,50
1502,20160313,70
1503,20160314,44
1504,20160315,49
1505,20160316,34
1506,20160317,29
1507,20160318,24
1508,20160319,29
1509,20160320,29
1510,20160321,29
1511,20160322,65
1512,20160323,32
1513,20160324,37
1514,20160325,27
1515,20160326,26
1516,20160327,31
1517,20160328,27
1518,20160329,27
1519,20160330,40
1520,20160331,38
1521,20160401,28
1522,20160402,22
1523,20160403,46
1524,20160404,64
1525,20160405,35
1526,20160406,42
1527,20160407,31
1528,20160408,28
1529,20160409,40
1530,20160410,36
1531,20160411,33
1532,20160412,41
1533,20160413,38
1534,20160414,39
1535,20160415,46
1536,20160416,40
1537,20160417,37
1538,20160418,50
1539,20160419,32
1540,20160420,32
1541,20160421,38
1542,20160422,26
1543,20160423,32
1544,20160424,33
1545,20160425,51
1546,20160426,40
1547,20160427,41
1548,20160428,45
1549,20160429,31
1550,20160430,23
1551,20160501,52
1552,20160502,47
1553,20160503,43
1554,20160504,47
1555,20160505,49
1556,20160506,40
1557,20160507,50
1558,20160508,63
1559,20160509,68
1560,20160510,46
1561,20160511,30
1562,20160512,42
1563,20160513,21
1564,20160514,47
1565,20160515,37
1566,20160516,38
1567,20160517,39
1568,20160518,52
1569,20160519,39
1570,20160520,28
1571,20160521,34
1572,20160522,28
1573,20160523,41
1574,20160524,47
1575,20160525,48
1576,20160526,39
1577,20160527,26
1578,20160528,34
1579,20160529,83
1580,20160530,55
1581,20160531,43
1582,20160601,44
1583,20160602,19
1584,20160603,32
1585,20160604,31
1586,20160605,75
1587,20160606,46
1588,20160607,44
1589,20160608,36
1590,20160609,30
1591,20160610,34
1592,20160611,39
1593,20160612,37
1594,20160613,28
1595,20160614,33
1596,20160615,48
1597,20160616,42
1598,20160617,19
1599,20160618,29
1600,20160619,37
1601,20160620,49
1602,20160621,52
1603,20160622,45
1604,20160623,38
1605,20160624,35
1606,20160625,25
1607,20160626,39
1608,20160627,50
1609,20160628,39
1610,20160629,36
1611,20160630,42
1612,20160701,35
1613,20160702,38
1614,20160703,33
1615,20160704,40
1616,20160705,32
1617,20160706,24
1618,20160707,35
1619,20160708,26
1620,20160709,38
1621,20160710,31
1622,20160711,33
1623,20160712,35
1624,20160713,33
1625,20160714,36
1626,20160715,40
1627,20160716,25
1628,20160717,31
1629,20160718,42
1630,20160719,37
1631,20160720,29
1632,20160721,33
1633,20160722,66
1634,20160723,48
1635,20160724,39
1636,20160725,39
1637,20160726,31
1638,20160727,38
1639,20160728,30
1640,20160729,41
1641,20160730,32
1642,20160731,44
1643,20160801,45
1644,20160802,34
1645,20160803,29
1646,20160804,27
1647,20160805,48
1648,20160806,62
1649,20160807,41
1650,20160808,90
1651,20160809,27
1652,20160810,46
1653,20160811,36
1654,20160812,50
1655,20160813,33
1656,20160814,31
1657,20160815,47
1658,20160816,26
1659,20160817,34
1660,20160818,36
1661,20160819,31
1662,20160820,27
1663,20160821,36
